String Name,String Latin Name,String Height,int diameter,String description,String waterUse,String bloomSeason,String flowerColor,String soilpH,Green ,String sunAmount,Color summerColor,Color fallColor
White Oak,Quercus Alba,60-100 feet,40,"Preeminent hardwood of Eastern and Central North America, white or grey bark the Whiteoak is majestic tree known for its oddly shaped crown","Average, Dry, Moist ",Mid-Spring,Green,Adaptable ,whiteOak.png,"Filtered-Shade, Full-Sun ",Green,"Green, Orange, Purple, Red, Yellow "
Sour Gum,Nyssa sylvatica,66–82 feet,26,"Great for an Autumn landscape, its dark green glossy leaves turn gold and orange in the fall. Good growth pattern ina pyramidal shape","Average, Dry, Moist, Wet","Early-Summer, Mid-Summer",Green ,Acidic,sourGum.png,"Filtered-Shade, Full-Sun ",Green ,"Orange, Red, Yellow "
Sweet Gum,Liquidambar styraciflua,80-100 feet,35,"Stands out in the fall when its leaves change color. Known for its tolerance of poor soil drainage and dry soil as well. In spring, its flowers give rise to spherical clusters or ""gum balls""","Average, Dry, Moist, Wet ","Early-Spring, Mid-Spring",Green ,Acidic,sweetGum.png,"Filtered-Shade, Full-Sun ",Green ,"Orange, Purple, Red, Yellow "
American Holly,"Ilex opaca",15-30 feet,24,"This evergreen provides an evergreen screen in the garden as well as a backdrop for its attractive fruit display which can include bright red, dark orange, or occasionally yellow berries.","Average, Dry, Moist ","Late-Spring, Mid-Spring",White ,"Acidic, Adaptable ",americanHolly.png,"Filtered-Shade, Full-Sun, Partial-Shade, Shade ",Green ,Green 
Pagoda Tree,Styphnolobium japonicum,25-35 feet,30,"With its unusual tiered branching structure, this underused member of the dogwood family will surely capture attention as a specimen tree in your landscape.","Average, Dry, Moist ","Late-Spring, Mid-Spring",White ,"Acidic, Adaptable ",pagoda.png,"Filtered-Shade, Partial-Shade, Shade ",Green ,"Green, Purple, Yellow "
Autumn Gold Flowering Dogwood,Cornus florida,12-15 feet,15,"An outstanding selection with three notable characteristics that make it quite unique; golden-yellow fall foliage color, winter twigs that range from yellow to orange, and Creamy-white flowering bracts in spring.","Average, Moist ","Late-Spring, Mid-Spring",White ,"Acidic, Adaptable ",goldDogwood.png,"Filtered-Shade, Full-Sun, Partial-Shade ",Green ,Yellow 
Fringe Tree,Chionanthus virginicus,12-20 feet,15,The sweetly scented and cascading white flower panicles of fringe tree offer a stunning contrast to the quiet green of its emerging spring leaves. The change of seasons brings golden yellow foliage colors.,"Average, Dry, Moist, Wet ","Late-Spring, Mid-Spring",White ,Adaptable ,fringe.png,"Filtered-Shade, Full-Sun ",Green ,Yellow 
Red Bud,Cercis canadensis,20-30 feet,12,A small deciduous tree. Trees typically grow 20 feet in height with a similar spread and have gracefully ascending branches and a rounded shape. Eastern redbud leaves are heart shaped.,"Average, Dry, Moist ",Mid-Spring,Pink,"Adaptable, Alkaline ",redBud.png,"Filtered-Shade, Full-Sun, Partial-Shade ",Green ,"Green, Yellow "
Alleghany Serviceberry,Amelanchier laevis,30-40 feet,17,"There is no doubt spring has arrived when Allegheny serviceberry bursts into flower. Its cloud-like clusters of delicate white flowers, followed by delicious blue-black summer fruit, are treats for wildlife.","Average, Dry, Moist ",Mid-Spring,White ,"Acidic, Adaptable ",alleghenyServiceberry.png,"Filtered-Shade, Full-Sun, Partial-Shade ",Green ,"Green, Orange, Yellow "
Red Maple,Acer rubrum,60-90 feet,15,"A handsome and adaptable deciduous shade tree. Known for its vivid red fall color, red maple also has distinctive red buds and flowers that are a herald of spring. Fall color varies from brilliant red to clear yellow.","Average, Dry, Moist, Wet ",Early-Spring,Red ,"Acidic, Adaptable ",redMaple.png,"Filtered-Shade, Full-Sun, Partial-Shade ",Green ,"Red, Yellow "
Shagbark Hickory,Carya ovata,60-80 feet,20,"A commanding presence in the landscape with it size, clean summer foliage, brilliant yellow autumn color, and “shaggy” exfoliating bark. Adaptable to dry, rocky, and clay soils as well as seasonally moist soils.","Average, Dry, Moist ","Early-Spring, Late-Spring, Mid-Spring",Green ,Adaptable ,shagbarkHickory.png,"Filtered-Shade, Full-Sun, Partial-Shade, Shade ",Green ,Yellow 
